M,G,beta,phi,T,mu,mid
50000.0,50000.0,0.461378,0.491661,2.16742,1.06563,1.04131
55555.6,50000.0,0.423982,0.49379,2.35859,1.16465,1.15858
61111.1,50000.0,0.382169,0.484539,2.61664,1.26787,1.27811
66666.7,50000.0,0.35087,0.485566,2.85006,1.38389,1.35863
72222.2,50000.0,0.327179,0.490392,3.05643,1.49885,1.49579
77777.8,50000.0,0.304156,0.4895,3.28779,1.60937,1.59643
83333.3,50000.0,0.285679,0.490156,3.50043,1.71576,1.71857
88888.9,50000.0,0.256652,0.490954,3.89633,1.91292,1.8227
94444.4,50000.0,0.251241,0.480199,3.98025,1.91131,1.94254
100000.0,50000.0,0.227359,0.483087,4.39833,2.12478,2.06702
50000.0,55555.6,0.460877,0.450794,2.16978,0.978121,0.946356
55555.6,55555.6,0.418576,0.448964,2.38905,1.0726,1.05591
61111.1,55555.6,0.375372,0.452974,2.66403,1.20673,1.15017
66666.7,55555.6,0.34615,0.439188,2.88892,1.26878,1.25546
72222.2,55555.6,0.336678,0.435757,2.97019,1.29428,1.34788
77777.8,55555.6,0.301742,0.43578,3.31409,1.44421,1.46233
83333.3,55555.6,0.279634,0.439175,3.57611,1.57054,1.54578
88888.9,55555.6,0.273159,0.435037,3.66087,1.59262,1.64278
94444.4,55555.6,0.249476,0.433028,4.0084,1.73575,1.79058
100000.0,55555.6,0.24149,0.444346,4.14095,1.84002,1.82098
50000.0,61111.1,0.462314,0.410461,2.16303,0.887839,0.865636
55555.6,61111.1,0.426811,0.401372,2.34296,0.940398,0.968113
61111.1,61111.1,0.378085,0.403292,2.64491,1.06667,1.053
66666.7,61111.1,0.354856,0.408526,2.81805,1.15125,1.15025
72222.2,61111.1,0.331696,0.411904,3.01481,1.24181,1.25286
77777.8,61111.1,0.304929,0.401893,3.27945,1.31799,1.3245
83333.3,61111.1,0.295465,0.407013,3.38449,1.37753,1.42709
88888.9,61111.1,0.273553,0.409914,3.6556,1.49848,1.49762
94444.4,61111.1,0.262671,0.402544,3.80704,1.5325,1.6012
100000.0,61111.1,0.232536,0.402244,4.30041,1.72981,1.7042
50000.0,66666.7,0.460966,0.369274,2.16936,0.801087,0.797968
55555.6,66666.7,0.415923,0.371228,2.40429,0.89254,0.87938
61111.1,66666.7,0.377896,0.372977,2.64623,0.986982,0.975004
66666.7,66666.7,0.349466,0.366556,2.86151,1.0489,1.04427
